State_Name,District_Name,Court_Efficiency_Index_PCA,Total_Population,Pending cases,Cases_per_Capita,Judicial_Efficiency_Index_per_Capita
TAMIL NADU,Pudukkottai,0.666363447,1618345,21174,0.0130837367804763,0.0087185239406789
TAMIL NADU,Kanniyakumari,0.716414808,1870374,48689,0.0260316920573104,0.0186494896671532
TAMIL NADU,Tiruchirappalli,0.709888942,2722290,58357,0.0214367315752546,0.0152176986978955
TAMIL NADU,Thoothukkudi,0.669639129,1750176,38075,0.021754954930247,0.0145679690709248
TAMIL NADU,Viluppuram,0.673238293,3458873,52349,0.015134698498615,0.0101892585822772
TAMIL NADU,Vellore,0.714003893,3936331,54925,0.0139533489434704,0.0099627454660253
TAMIL NADU,Salem,0.718266441,3482056,62350,0.0179060876677457,0.0128613418613457
TAMIL NADU,Chennai,0.698223185,4646732,145736,0.0313631171326429,0.0218984555358819
TAMIL NADU,Virudhunagar,0.768725579,1942288,39627,0.0204022266522781,0.0156837134961617
TAMIL NADU,Madurai,0.731636795,3038252,79616,0.0262045412954554,0.0191722066078521
TAMIL NADU,The Nilgiris,0.765474503,735394,7467,0.0101537407158611,0.0077724296280646
TAMIL NADU,Thanjavur,0.740822078,2405890,40843,0.0169762541097057,0.0125763838462082
TAMIL NADU,Coimbatore,0.680002401,3458045,78411,0.022674950730832,0.0154190209395224
TAMIL NADU,Cuddalore,0.500424285,2605914,55480,0.0212900348975445,0.0106540504912287
TAMIL NADU,Ramanathapuram,0.748989914,1353445,24062,0.017778336023998,0.0133157943696773
TAMIL NADU,Tiruvannamalai,0.678129778,2464875,37337,0.0151476241188701,0.0102720549809568
TAMIL NADU,Erode,0.713273351,2251744,42605,0.0189208897636676,0.0134957664456328
TAMIL NADU,Thiruvarur,0.714695811,1264277,14839,0.0117371430469746,0.0083884869687805
TAMIL NADU,Krishnagiri,0.747727554,1879809,40217,0.0213941948357519,0.0159970289743362
TAMIL NADU,Dindigul,0.514536581,2159775,46488,0.0215244643539257,0.0110751242965253
TAMIL NADU,Sivaganga,0.767024508,1339101,31638,0.0236262985390945,0.01812195001281
TAMIL NADU,Kancheepuram,0.624038727,3998252,68952,0.0172455362993628,0.0107618825186866
TAMIL NADU,Thiruvallur,0.648140306,3728104,65957,0.0176918347771414,0.0114667912061578
TAMIL NADU,Tiruppur,0.69159401,2479052,50420,0.0203384196862349,0.0140659292278661
MEGHALAYA,East Khasi Hills,0.384329975,825922,5955,0.0072101239584367,0.0027710667606928
MEGHALAYA,West Garo Hills,0.774623975,643291,1229,0.0019104884103772,0.0014799101266378
MEGHALAYA,East Garo Hills,0.719898559,317917,333,0.0010474432005838,0.0007540528507346
MEGHALAYA,Ribhoi,0.608182365,258840,1453,0.0056135064132282,0.0034140356063398
MEGHALAYA,West Khasi Hills,0.793601264,383461,400,0.001043130852942,0.0008278299634121
MEGHALAYA,South Garo Hills,0.932986053,142334,282,0.0019812553571177,0.0018484836156224
GOA,North Goa,0.758814144,818008,42186,0.0515716227714154,0.0391332767879825
GOA,South Goa,0.811888032,640537,16762,0.0261686678521303,0.0212460282425277
HIMACHAL PRADESH,Hamirpur,0.810366001,454768,36197,0.0795944305667945,0.0645006204002854
HIMACHAL PRADESH,Kangra,0.763743265,1510075,82674,0.0547482740923464,0.0418136256084035
HIMACHAL PRADESH,Sirmaur,0.813473315,529855,32928,0.0621453039038982,0.0505535463783865
HIMACHAL PRADESH,Una,0.758853925,521173,36404,0.0698501265414747,0.0530060426877447
HIMACHAL PRADESH,Solan,0.829605586,580320,81905,0.1411376481940998,0.117088581336728
HIMACHAL PRADESH,Mandi,0.837773494,999777,74796,0.0748126832283599,0.0626760830237383
HIMACHAL PRADESH,Bilaspur,0.75864419,381956,30546,0.079972562284661,0.0606707197366712
HIMACHAL PRADESH,Chamba,0.843420665,519080,22630,0.0435963627957155,0.0367700733007436
HIMACHAL PRADESH,Kinnaur,0.874560455,84121,32450,0.3857538545666361,0.3373650665678011
HIMACHAL PRADESH,Kullu,0.883917338,437903,113630,0.2594866899747204,0.2293647842488861
HIMACHAL PRADESH,Shimla,0.835342183,814010,99824,0.1226324000933649,0.1024400168005208
NAGALAND,Kohima,0.729757381,267988,619,0.002309804916638,0.0016855971865867
NAGALAND,Mokokchung,0.884039357,194622,193,0.0009916658959418,0.0008766716810072
NAGALAND,Wokha,0.656265659,166343,273,0.0016411871855142,0.0010770547898438
NAGALAND,Zunheboto,0.950349854,140757,39,0.0002770732539056,0.0002633165263965
NAGALAND,Phek,0.945257625,163418,45,0.0002753674625806,0.0002602931936812
NAGALAND,Mon,0.77910435,250260,105,0.0004195636538,0.0003268838677775
NAGALAND,Longleng,0.911810404,50484,48,0.0009507962918944,0.0008669459510339
NAGALAND,Tuensang,0.802988959,196596,36,0.000183116645303,0.0001470406443874
NAGALAND,Peren,0.556629254,95219,43,0.000451590543904,0.0002513685075667
NAGALAND,Kiphire,0.990553791,74004,10,0.000135127830928,0.0001338513851953
TRIPURA,North Tripura,0.845004312,693947,3856,0.0055566203182663,0.0046953681290819
TRIPURA,Dhalai,0.900493918,378230,2968,0.0078470771752637,0.0070662452704016
CHANDIGARH,Chandigarh,0.855398391,1055450,113184,0.1072376711355346,0.0917309313439234
PUDUCHERRY,Puducherry,0.672400317,950289,27537,0.0289775005287865,0.0194844805414237
PUDUCHERRY,Karaikal,0.860966101,200222,6479,0.0323590814196242,0.0278600721617954
PUDUCHERRY,Mahe,0.767974534,41816,394,0.0094222307250813,0.0072360332503348
PUDUCHERRY,Yanam,0.83623011,55626,400,0.0071908819616725,0.0060132320138064
ARUNACHAL PRADESH,Lohit,0.697344133,145726,566,0.0038840014822337,0.002708485646199
ARUNACHAL PRADESH,Upper Subansiri,0.937404146,83448,51,0.0006111590451538,0.0005729030227926
ARUNACHAL PRADESH,Papum Pare,0.787223409,176573,8102,0.0458847049095841,0.0361215138198818
ARUNACHAL PRADESH,West Kameng,0.914610591,83947,220,0.0026207011566821,0.0023969210337474
ARUNACHAL PRADESH,Upper Siang,0.932589746,35320,173,0.0048980747451868,0.0045678942825028
ARUNACHAL PRADESH,East Siang,0.923664305,99214,381,0.0038401838450218,0.0035470407422843
ARUNACHAL PRADESH,West Siang,0.880535816,112274,501,0.0044622975933876,0.0039292128526283
ARUNACHAL PRADESH,Lower Subansiri,0.834583359,83030,308,0.0037095025894255,0.0030958891313019
ARUNACHAL PRADESH,Tirap,1.32591822,111975,0,0.0,0.0
ARUNACHAL PRADESH,Lower Dibang Valley,0.892102105,54080,176,0.0032544378698224,0.0029032908742603
ARUNACHAL PRADESH,Tawang,0.949806825,49977,93,0.0018608559937571,0.0017674537232126
ARUNACHAL PRADESH,East Kameng,0.789640436,78690,373,0.0047401194560935,0.0037429899940017
UTTARAKHAND,Nainital,0.826938818,954605,29770,0.0311856736555957,0.0257886441112921
UTTARAKHAND,Tehri Garhwal,0.905021433,618931,3508,0.0056678369640557,0.0051295139312201
UTTARAKHAND,Udham Singh Nagar,0.83491615,1648902,74140,0.0449632543353091,0.0375405472011071
UTTARAKHAND,Dehradun,0.842558037,1696694,129248,0.0761763759405054,0.0641830177782063
UTTARAKHAND,Uttarkashi,0.923704081,330086,1668,0.005053228552559,0.0046676878362244
UTTARAKHAND,Almora,0.900791888,622506,2360,0.0037911281176406,0.0034150174547393
UTTARAKHAND,Chamoli,0.917168997,391605,1257,0.003209867085456,0.002943990575271
UTTARAKHAND,Hardwar,0.767281019,1890422,106051,0.0560991143776363,0.0430437856446703
UTTARAKHAND,Champawat,0.922304688,259648,3591,0.0138302625092432,0.0127557159485457
UTTARAKHAND,Bageshwar,0.928765627,259898,627,0.0024124848979214,0.002240633048846
UTTARAKHAND,Pithoragarh,0.900653454,483439,2936,0.0060731550412771,0.0054698080646038
UTTARAKHAND,Rudraprayag,0.926674331,242285,620,0.0025589698082836,0.0023713316351404
KERALA,Kasaragod,0.865486942,1307375,25401,0.0194290085094177,0.0168155531609079
KERALA,Ernakulam,0.809310882,3282388,310439,0.0945771797849614,0.0765423407888397
KERALA,Kannur,0.840786164,2523003,71960,0.0285215673544581,0.0239805392072225
KERALA,Thrissur,0.827841653,3121200,194955,0.0624615532487504,0.0517082754903931
KERALA,Kozhikode,0.88793251,3086293,89923,0.0291362485674561,0.0258710223224852
KERALA,Alappuzha,0.818601877,2127789,87572,0.0411563364600531,0.033690654276643
KERALA,Palakkad,0.872458169,2809934,90716,0.0322840322939969,0.0281664677031574
KERALA,Thiruvananthapuram,0.741416512,3301427,381711,0.115620003107747,0.0857225794215749
KERALA,Kottayam,0.832260769,1974551,74405,0.0376819844106331,0.0313612373230395
KERALA,Malappuram,0.858582399,4112920,92558,0.0225042062573548,0.0193217153960305
KERALA,Pathanamthitta,0.66682942,1197412,90583,0.075648982973279,0.0504449674396615
KERALA,Kollam,0.715382387,2635375,197098,0.0747893563534601,0.0535029882703319
KERALA,Wayanad,0.880777229,817420,25873,0.0316520271096865,0.0278783847299026
ASSAM,Kamrup,0.864006051,1517542,133972,0.088282235351641,0.0762763855396239
ASSAM,Tinsukia,0.878992844,1327929,11665,0.0087843551876644,0.0077213853491112
ASSAM,Sivasagar,0.883854197,1151050,3885,0.0033751791842231,0.0029831662876026
ASSAM,Morigaon,0.840021279,957423,11559,0.0120730335494342,0.0101416050836056
ASSAM,Lakhimpur,0.86639947,1042137,8716,0.0083635836746992,0.00724620446306
ASSAM,Sonitpur,0.832260263,1924110,13314,0.006919562810858,0.0057588771648097
ASSAM,Dibrugarh,0.813162004,1326335,14237,0.0107340905578153,0.0087285545891105
ASSAM,Darrang,0.879797256,928500,18273,0.0196801292407108,0.0173145237037027
ASSAM,Bongaigaon,0.918835524,738804,12723,0.0172210762259002,0.0158233365978689
ASSAM,Nagaon,0.81667933,2823768,25260,0.008945494105748,0.0073056001328012
ASSAM,Jorhat,0.910091029,1092256,13950,0.0127717311692496,0.0116234379619338
ASSAM,Karimganj,0.853067166,1228686,16534,0.0134566520657027,0.011479428041537
ASSAM,Cachar,0.742205955,1736617,27620,0.0159044855601436,0.0118044038939501
